freqs:, k index, k1, k2, k3, kmag/2pi, band 1
freqs:, 1, 0, 0, 0, 0, 0
freqs:, 2, 0.0199203, 0, 0, 0.0199203, 0.0122573
freqs:, 3, 0.0398406, 0, 0, 0.0398406, 0.0238092
freqs:, 4, 0.059761, 0, 0, 0.059761, 0.0342847
freqs:, 5, 0.0796813, 0, 0, 0.0796813, 0.0437593
freqs:, 6, 0.0996016, 0, 0, 0.0996016, 0.0525448
freqs:, 7, 0.119522, 0, 0, 0.119522, 0.0609358
freqs:, 8, 0.139442, 0, 0, 0.139442, 0.0691228
freqs:, 9, 0.159363, 0, 0, 0.159363, 0.077211
freqs:, 10, 0.179283, 0, 0, 0.179283, 0.085255
freqs:, 11, 0.199203, 0, 0, 0.199203, 0.0932826
freqs:, 12, 0.219124, 0, 0, 0.219124, 0.101308
freqs:, 13, 0.239044, 0, 0, 0.239044, 0.109339
freqs:, 14, 0.258964, 0, 0, 0.258964, 0.11738
freqs:, 15, 0.278884, 0, 0, 0.278884, 0.125431
freqs:, 16, 0.298805, 0, 0, 0.298805, 0.133495
freqs:, 17, 0.318725, 0, 0, 0.318725, 0.14157
freqs:, 18, 0.338645, 0, 0, 0.338645, 0.149657
freqs:, 19, 0.358566, 0, 0, 0.358566, 0.157755
freqs:, 20, 0.378486, 0, 0, 0.378486, 0.165864
freqs:, 21, 0.398406, 0, 0, 0.398406, 0.173981
freqs:, 22, 0.418327, 0, 0, 0.418327, 0.182107
freqs:, 23, 0.438247, 0, 0, 0.438247, 0.19024
freqs:, 24, 0.458167, 0, 0, 0.458167, 0.198377
freqs:, 25, 0.478088, 0, 0, 0.478088, 0.206517
freqs:, 26, 0.498008, 0, 0, 0.498008, 0.214655
freqs:, 27, 0.517928, 0, 0, 0.517928, 0.222787
freqs:, 28, 0.537849, 0, 0, 0.537849, 0.2309
freqs:, 29, 0.557769, 0, 0, 0.557769, 0.238973
freqs:, 30, 0.577689, 0, 0, 0.577689, 0.246952
freqs:, 31, 0.59761, 0, 0, 0.59761, 0.254709
freqs:, 32, 0.61753, 0, 0, 0.61753, 0.261982
freqs:, 33, 0.63745, 0, 0, 0.63745, 0.268582
freqs:, 34, 0.657371, 0, 0, 0.657371, 0.274638
freqs:, 35, 0.677291, 0, 0, 0.677291, 0.280364
freqs:, 36, 0.697211, 0, 0, 0.697211, 0.285891
freqs:, 37, 0.717131, 0, 0, 0.717131, 0.291294
freqs:, 38, 0.737052, 0, 0, 0.737052, 0.296614
freqs:, 39, 0.756972, 0, 0, 0.756972, 0.301875
freqs:, 40, 0.776892, 0, 0, 0.776892, 0.307096
freqs:, 41, 0.796813, 0, 0, 0.796813, 0.312289
freqs:, 42, 0.816733, 0, 0, 0.816733, 0.31746
freqs:, 43, 0.836653, 0, 0, 0.836653, 0.322618
freqs:, 44, 0.856574, 0, 0, 0.856574, 0.327765
freqs:, 45, 0.876494, 0, 0, 0.876494, 0.332907
freqs:, 46, 0.896414, 0, 0, 0.896414, 0.338047
freqs:, 47, 0.916335, 0, 0, 0.916335, 0.343185
freqs:, 48, 0.936255, 0, 0, 0.936255, 0.348324
freqs:, 49, 0.956175, 0, 0, 0.956175, 0.353466
freqs:, 50, 0.976096, 0, 0, 0.976096, 0.358611
freqs:, 51, 0.996016, 0, 0, 0.996016, 0.363761
freqs:, 52, 1.01594, 0, 0, 1.01594, 0.368916
freqs:, 53, 1.03586, 0, 0, 1.03586, 0.374077
freqs:, 54, 1.05578, 0, 0, 1.05578, 0.379243
freqs:, 55, 1.0757, 0, 0, 1.0757, 0.384416
freqs:, 56, 1.09562, 0, 0, 1.09562, 0.389596
freqs:, 57, 1.11554, 0, 0, 1.11554, 0.394783
freqs:, 58, 1.13546, 0, 0, 1.13546, 0.399976
freqs:, 59, 1.15538, 0, 0, 1.15538, 0.405177
freqs:, 60, 1.1753, 0, 0, 1.1753, 0.410385
freqs:, 61, 1.19522, 0, 0, 1.19522, 0.4156
freqs:, 62, 1.21514, 0, 0, 1.21514, 0.420822
freqs:, 63, 1.23506, 0, 0, 1.23506, 0.426051
freqs:, 64, 1.25498, 0, 0, 1.25498, 0.431288
freqs:, 65, 1.2749, 0, 0, 1.2749, 0.436531
freqs:, 66, 1.29482, 0, 0, 1.29482, 0.441781
freqs:, 67, 1.31474, 0, 0, 1.31474, 0.447038
freqs:, 68, 1.33466, 0, 0, 1.33466, 0.452302
freqs:, 69, 1.35458, 0, 0, 1.35458, 0.457573
freqs:, 70, 1.3745, 0, 0, 1.3745, 0.46285
freqs:, 71, 1.39442, 0, 0, 1.39442, 0.468134
freqs:, 72, 1.41434, 0, 0, 1.41434, 0.473424
freqs:, 73, 1.43426, 0, 0, 1.43426, 0.47872
freqs:, 74, 1.45418, 0, 0, 1.45418, 0.484023
freqs:, 75, 1.4741, 0, 0, 1.4741, 0.489332
freqs:, 76, 1.49402, 0, 0, 1.49402, 0.494646
